City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,freetown,8.484,-13.2299,29.840000000000032,70,75,2.06,SL,1698580598
66,touros,-5.1989,-35.4608,28.82000000000005,57,82,7.74,BR,1698580581
67,barcelos,41.5388,-8.6151,19.08000000000004,76,74,6.02,PT,1698580599
68,vorgashor,67.5833,63.95,-16.529999999999973,94,12,2.44,RU,1698580599
69,weno,7.4515,151.8468,27.970000000000027,83,100,5.14,FM,1698580599
70,nazyvayevsk,55.5698,71.3529,-3.2399999999999523,82,76,4.3,RU,1698580600
71,nosy varika,-20.5833,48.5333,27.220000000000027,72,15,6.93,MG,1698580600
72,tukrah,32.5341,20.5791,25.100000000000023,58,29,4.58,LY,1698580601
73,albany,42.6001,-73.9662,8.689999999999998,72,100,2.63,US,1698580507
74,whitehorse,60.7161,-135.0538,-4.5499999999999545,97,100,5.14,CA,1698580601
75,bamboo flat,11.7,92.7167,27.05000000000001,89,40,1.03,IN,1698580601
76,waingapu,-9.6567,120.2641,27.450000000000045,77,35,4.18,ID,1698580602
77,port augusta,-32.5,137.7667,15.020000000000039,69,21,6.92,AU,1698580602
78,mashhad,36.297,59.6062,28.08000000000004,32,0,2.06,IR,1698580275
79,chateaudun,48.0833,1.3333,16.430000000000007,66,87,10.52,FR,1698580602
80,ulsteinvik,62.3432,5.8487,7.400000000000034,56,0,4.92,NO,1698580603
81,enewetak,11.3474,162.3373,28.860000000000014,76,12,7.32,MH,1698580603
82,corn island,12.1694,-83.0418,28.25,71,96,3.82,NI,1698580603
83,ushuaia,-54.8,-68.3,3.8100000000000023,70,75,5.66,AR,1698580604
84,georgetown,5.4112,100.3354,28.30000000000001,100,40,1.03,MY,1698580506
85,wailua homesteads,22.0669,-159.378,24.439999999999998,90,40,5.66,US,1698580604
86,pisco,-13.7,-76.2167,17.79000000000002,94,97,1.54,PE,1698580604
87,garissa,-0.4536,39.6401,34.98000000000002,33,96,4.36,KE,1698580605
88,djambala,-2.5447,14.7533,28.930000000000007,56,24,2.93,CG,1698580605
89,minas,-34.3759,-55.2377,24.0,70,0,4.53,UY,1698580605
90,al khaburah,23.9886,57.0984,29.700000000000045,50,27,4.0,OM,1698580605
91,talnakh,69.4865,88.3972,-20.399999999999977,97,44,0.99,RU,1698580605
92,carutapera,-1.195,-46.02,28.720000000000027,67,54,5.42,BR,1698580606
93,farafangana,-22.8167,47.8333,27.160000000000025,74,22,7.23,MG,1698580606
94,princeville,45.7668,-61.2985,8.28000000000003,69,40,3.6,CA,1698580607
95,constitucion,-35.3333,-72.4167,11.75,86,98,4.78,CL,1698580607
96,behompy,-23.2496,43.8557,31.590000000000032,38,1,5.9,MG,1698580607
